venue,venue_avg_runs,venue_avg_powerplay,venue_avg_death,venue_avg_wickets
arun jaitley stadium,180.21621621621622,56.486486486486484,48.12162162162162,5.986486486486487
"barsapara cricket stadium, guwahati",163.25,58.75,36.375,6.3125
"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",170.30434782608697,52.71739130434783,43.32608695652174,6.108695652173913
"brabourne stadium, mumbai",170.71875,52.90625,43.90625,6.375
"dr dy patil sports academy, mumbai",164.325,45.925,45.475,6.35
dr. y.s. rajasekhara reddy aca-vdca cricket stadium,156.25,48.0,49.5,7.25
"dr. y.s. rajasekhara reddy aca-vdca cricket stadium, visakhapatnam",193.625,58.125,42.5,7.25
dubai international cricket stadium,156.375,46.31944444444444,43.06944444444444,5.875
eden gardens,183.2716049382716,56.77777777777778,48.851851851851855,6.0246913580246915
"himachal pradesh cricket association stadium, dharamsala",195.0,55.5,57.6,6.8
holkar cricket stadium,162.0,49.625,43.125,5.875
"m chinnaswamy stadium, bengaluru",185.5681818181818,55.02272727272727,46.84090909090909,6.340909090909091
m.chinnaswamy stadium,177.2962962962963,50.2962962962963,53.629629629629626,5.962962962962963
ma chidambaram stadium,142.38888888888889,43.388888888888886,40.44444444444444,5.555555555555555
"ma chidambaram stadium, chepauk, chennai",161.16666666666666,51.19444444444444,42.638888888888886,6.430555555555555
"maharaja yadavindra singh international cricket stadium, mullanpur",159.2,51.0,40.2,7.2
"maharaja yadavindra singh international cricket stadium, new chandigarh",200.83333333333334,75.33333333333333,46.666666666666664,5.666666666666667
maharashtra cricket association stadium,168.16666666666666,46.083333333333336,48.5,5.416666666666667
"maharashtra cricket association stadium, pune",158.0,42.73076923076923,44.88461538461539,6.730769230769231
narendra modi stadium,179.2058823529412,53.30882352941177,46.720588235294116,6.088235294117647
pca stadium,173.8,51.6,44.8,5.2
"punjab cricket association is bindra stadium, mohali, chandigarh",185.6,55.1,46.1,6.0
rajiv gandhi international stadium,154.36666666666667,50.56666666666667,38.333333333333336,6.333333333333333
"rajiv gandhi international stadium, uppal, hyderabad",185.775,56.85,46.55,5.75
sawai mansingh stadium,157.25,49.5,39.857142857142854,5.571428571428571
"sawai mansingh stadium, jaipur",179.26470588235293,53.14705882352941,46.94117647058823,5.0588235294117645
sharjah cricket stadium,153.5,46.5,40.90909090909091,5.886363636363637
sheikh zayed stadium,156.97619047619048,45.0,43.523809523809526,5.238095238095238
wankhede stadium,173.4857142857143,50.05714285714286,46.864285714285714,5.9071428571428575
"zayed cricket stadium, abu dhabi",154.6875,50.5,37.375,5.8125
